Entity,Code,Day,cum_excess_proj_all_ages
Belgium,BEL,2020-10-25,8848.3
Belgium,BEL,2020-11-01,10152
Belgium,BEL,2020-11-08,11839.5
Belgium,BEL,2020-11-15,13232.6
Belgium,BEL,2020-11-22,14311.9
Belgium,BEL,2020-11-29,15105.8
Belgium,BEL,2020-12-06,15650.3
Belgium,BEL,2020-12-13,16214.4
Belgium,BEL,2020-12-20,16699.9
Belgium,BEL,2020-12-27,17081.6
Belgium,BEL,2021-01-03,17291.3
Belgium,BEL,2021-01-10,17387.8
Belgium,BEL,2021-01-17,17372.1
Belgium,BEL,2021-01-24,17399.2
Belgium,BEL,2021-01-31,17430.7
Belgium,BEL,2021-02-07,17210.6
Belgium,BEL,2021-02-14,16958.1
Belgium,BEL,2021-02-21,16763.4
Belgium,BEL,2021-02-28,16429.5
Belgium,BEL,2021-03-07,15910.6
Belgium,BEL,2021-03-14,15629.7
Belgium,BEL,2021-03-21,15399
Belgium,BEL,2021-03-28,15198.7
Belgium,BEL,2021-04-04,15206.8
Belgium,BEL,2021-04-11,15310.1
Belgium,BEL,2021-04-18,15393.8
Belgium,BEL,2021-04-25,15570.3
Belgium,BEL,2021-05-02,15754
Belgium,BEL,2021-05-09,16011.7
Belgium,BEL,2021-05-16,16066.4
Belgium,BEL,2021-05-23,16120.1
Belgium,BEL,2021-05-30,16151.8
Belgium,BEL,2021-06-06,16215.3
Belgium,BEL,2021-06-13,16225.2
Belgium,BEL,2021-06-20,16340.5
Belgium,BEL,2021-06-27,16205.8
Belgium,BEL,2021-07-04,16243.7
Belgium,BEL,2021-07-11,16053.4
Belgium,BEL,2021-07-18,16109.5
Belgium,BEL,2021-07-25,16214.6
Belgium,BEL,2021-08-01,16111.7
Belgium,BEL,2021-08-08,16110.2
Belgium,BEL,2021-08-15,16134.7
Belgium,BEL,2021-08-22,16124.4
Belgium,BEL,2021-08-29,16091.5
Belgium,BEL,2021-09-05,16146.4
Belgium,BEL,2021-09-12,16317.3
Belgium,BEL,2021-09-19,16357.8
Belgium,BEL,2021-09-26,16370.9
Belgium,BEL,2021-10-03,16414.2
Belgium,BEL,2021-10-10,16506.1
Belgium,BEL,2021-10-17,16716
Belgium,BEL,2021-10-24,17055.9
Belgium,BEL,2021-10-31,17398
Belgium,BEL,2021-11-07,17701.5
Belgium,BEL,2021-11-14,18081.8
Belgium,BEL,2021-11-21,18446.7
Belgium,BEL,2021-11-28,18833.8
Belgium,BEL,2021-12-05,19462.5
Belgium,BEL,2021-12-12,19909.8
Belgium,BEL,2021-12-19,20234.7
Belgium,BEL,2021-12-26,20410
Belgium,BEL,2022-01-02,20619.5
Belgium,BEL,2022-01-09,20578.7
Belgium,BEL,2022-01-16,20360.7
Belgium,BEL,2022-01-23,20297.5
Belgium,BEL,2022-01-30,20373.7
Belgium,BEL,2022-02-06,20448.3
Belize,BLZ,2020-01-31,1.2
Belize,BLZ,2020-02-29,5.8
Belize,BLZ,2020-03-31,-13.4
Belize,BLZ,2020-04-30,-38.2
Belize,BLZ,2020-05-31,-46.6
Belize,BLZ,2020-06-30,-41.2
Belize,BLZ,2020-07-31,-47.6
Belize,BLZ,2020-08-31,-54
Belize,BLZ,2020-09-30,-71.8
Belize,BLZ,2020-10-31,-50.6
Belize,BLZ,2020-11-30,34.6
Belize,BLZ,2020-12-31,127.6
Bermuda,BMU,2020-01-31,-14.9
Bermuda,BMU,2020-02-29,-11.4
Bermuda,BMU,2020-03-31,-0.700000000000001
Bermuda,BMU,2020-04-30,18.2
Bermuda,BMU,2020-05-31,20.3
Bermuda,BMU,2020-06-30,10.8
Bermuda,BMU,2020-07-31,5.5
Bermuda,BMU,2020-08-31,2.6
Bermuda,BMU,2020-09-30,25.5
Bermuda,BMU,2020-10-31,13.8
Bermuda,BMU,2020-11-30,15.9
Bermuda,BMU,2020-12-31,15.4
Bolivia,BOL,2020-01-31,235
Bolivia,BOL,2020-02-29,535.2
Bolivia,BOL,2020-03-31,749.8
Bolivia,BOL,2020-04-30,-439.2
Bolivia,BOL,2020-05-31,-570.8
Bolivia,BOL,2020-06-30,3046.4
Bolivia,BOL,2020-07-31,14293
Bolivia,BOL,2020-08-31,20430.4
Bolivia,BOL,2020-09-30,21354.4
Bolivia,BOL,2020-10-31,21913
Bolivia,BOL,2020-11-30,22328
Bolivia,BOL,2020-12-31,22614.8
Bolivia,BOL,2021-01-31,27201
Bolivia,BOL,2021-02-28,29812.4
Bolivia,BOL,2021-03-31,31319.2
Bolivia,BOL,2021-04-30,32372.4
Bolivia,BOL,2021-05-31,36167
Bolivia,BOL,2021-06-30,41445.4
Bolivia,BOL,2021-07-31,44678.2
Bolivia,BOL,2021-08-31,46498.8
Bolivia,BOL,2021-09-30,47551
Bosnia and Herzegovina,BIH,2020-01-31,-598.8
Bosnia and Herzegovina,BIH,2020-02-29,-711
Bosnia and Herzegovina,BIH,2020-03-31,-1107.2
Bosnia and Herzegovina,BIH,2020-04-30,-911.2
Bosnia and Herzegovina,BIH,2020-05-31,-972
Bosnia and Herzegovina,BIH,2020-06-30,-783.6
Bosnia and Herzegovina,BIH,2020-07-31,-526.6
Bosnia and Herzegovina,BIH,2020-08-31,-51.3999999999999
Bosnia and Herzegovina,BIH,2020-09-30,738
Bosnia and Herzegovina,BIH,2020-10-31,1229.2
Bosnia and Herzegovina,BIH,2020-11-30,3703.2
Bosnia and Herzegovina,BIH,2020-12-31,6595.8
Bosnia and Herzegovina,BIH,2021-01-31,6668.3
Bosnia and Herzegovina,BIH,2021-02-28,6826.4
Bosnia and Herzegovina,BIH,2021-03-31,8266.5
Bosnia and Herzegovina,BIH,2021-04-30,11325.8
Bosnia and Herzegovina,BIH,2021-05-31,12569.3
Bosnia and Herzegovina,BIH,2021-06-30,13100
Bosnia and Herzegovina,BIH,2021-07-31,13377.3
Bosnia and Herzegovina,BIH,2021-08-31,13561.8
Bosnia and Herzegovina,BIH,2021-09-30,14690.5
Brazil,BRA,2020-01-31,1739.2
Brazil,BRA,2020-02-29,7049.6
Brazil,BRA,2020-03-31,14401
Brazil,BRA,2020-04-30,27364.4
Brazil,BRA,2020-05-31,64230.2
Brazil,BRA,2020-06-30,87328.6
Brazil,BRA,2020-07-31,110785.4
Brazil,BRA,2020-08-31,136300.4
Brazil,BRA,2020-09-30,153903.4
Brazil,BRA,2020-10-31,171723
Brazil,BRA,2020-11-30,189223.8
Brazil,BRA,2020-12-31,217558.4
Brazil,BRA,2021-01-31,255469.6
Brazil,BRA,2021-02-28,289340
Brazil,BRA,2021-03-31,383707.4
Brazil,BRA,2021-04-30,465119.8
Brazil,BRA,2021-05-31,525397.6
Brazil,BRA,2021-06-30,574715
Brazil,BRA,2021-07-31,612051.8
Brazil,BRA,2021-08-31,642303.2
Brazil,BRA,2021-09-30,659896.7
Brazil,BRA,2021-10-31,667150.4
Brazil,BRA,2021-11-30,681695.5
Brazil,BRA,2021-12-31,693607.5
Brazil,BRA,2022-01-31,735940.7
Brunei,BRN,2020-01-31,26.8
Brunei,BRN,2020-02-29,42.8
Brunei,BRN,2020-03-31,44
Brunei,BRN,2020-04-30,34.4
Brunei,BRN,2020-05-31,23.2
Brunei,BRN,2020-06-30,77.8
Brunei,BRN,2020-07-31,69
Brunei,BRN,2020-08-31,59.6
Brunei,BRN,2020-09-30,27
Brunei,BRN,2020-10-31,-0.199999999999999
Brunei,BRN,2020-11-30,-5.6
Brunei,BRN,2020-12-31,-16.8
Bulgaria,BGR,2020-01-05,-453.7
Bulgaria,BGR,2020-01-12,-729.2
Bulgaria,BGR,2020-01-19,-1052.9
Bulgaria,BGR,2020-01-26,-1148.2
Bulgaria,BGR,2020-02-02,-1150.1
Bulgaria,BGR,2020-02-09,-1094
Bulgaria,BGR,2020-02-16,-1058.7
Bulgaria,BGR,2020-02-23,-1166.4
Bulgaria,BGR,2020-03-01,-1243.9
Bulgaria,BGR,2020-03-08,-1442.6
Bulgaria,BGR,2020-03-15,-1551.7
Bulgaria,BGR,2020-03-22,-1649.8
Bulgaria,BGR,2020-03-29,-1691.7
Bulgaria,BGR,2020-04-05,-1762.2
Bulgaria,BGR,2020-04-12,-1786.9
Bulgaria,BGR,2020-04-19,-1809.2
Bulgaria,BGR,2020-04-26,-1861.3
Bulgaria,BGR,2020-05-03,-1963.4
Bulgaria,BGR,2020-05-10,-2059.9
Bulgaria,BGR,2020-05-17,-1923.6
Bulgaria,BGR,2020-05-24,-1978.9
Bulgaria,BGR,2020-05-31,-2113.8
Bulgaria,BGR,2020-06-07,-2091.3
Bulgaria,BGR,2020-06-14,-2056
Bulgaria,BGR,2020-06-21,-2068.1
Bulgaria,BGR,2020-06-28,-2102
Bulgaria,BGR,2020-07-05,-1842.9
Bulgaria,BGR,2020-07-12,-1720.8
Bulgaria,BGR,2020-07-19,-1726.9
Bulgaria,BGR,2020-07-26,-1692.8
Bulgaria,BGR,2020-08-02,-1473.5
Bulgaria,BGR,2020-08-09,-1328.2
Bulgaria,BGR,2020-08-16,-1193.5
Bulgaria,BGR,2020-08-23,-1095.6
Bulgaria,BGR,2020-08-30,-958.7
Bulgaria,BGR,2020-09-06,-806.8
Bulgaria,BGR,2020-09-13,-693.1
Bulgaria,BGR,2020-09-20,-636.6
Bulgaria,BGR,2020-09-27,-577.1
Bulgaria,BGR,2020-10-04,-519.2
Bulgaria,BGR,2020-10-11,-401.9
Bulgaria,BGR,2020-10-18,-282.8
Bulgaria,BGR,2020-10-25,56.9000000000001
